phase,metric,n,p50_ms,p95_ms,mean_ms,min_ms,max_ms
before,category_subtree_count,5,460.11,490.65,461.54,432.77,491.48
before,category_gallery,5,2012.24,2063.27,2024.81,1985.91,2067.15
before,groups_provenance,5,2150.86,2174.22,2044.09,1739.53,2175.81
before,groups_category_smoke,3,0.45,0.7,0.54,0.45,0.73
before,focus,5,2071.7,2140.5,2071.8,1973.52,2144.08
before,facets,5,2207.74,2284.55,2228.94,2178.62,2286.57
before,gallery_page,5,925.12,966.95,906.22,782.87,971.53
before,status_counts,5,5.59,7.4,5.97,5.23,7.82
before,category_nodes_root,5,3.85,4.25,3.8,3.34,4.3
after,category_subtree_count,5,458.24,2169.81,886.81,448,2591.84
after,category_gallery,5,1002.81,1077.37,1017.39,976.72,1093.4
after,groups_provenance,5,5311.09,5471.52,4610.39,2371.16,5502.75
after,groups_category_smoke,3,0.51,0.88,0.63,0.47,0.92
after,focus,5,2007.86,2083.65,2004.7,1867.83,2091.96
after,facets,5,2149.7,2154.35,2144.43,2128.09,2154.95
after,gallery_page,5,843.72,864.7,843.57,825.06,867.73
after,status_counts,5,5.48,7.97,5.99,5.17,8.57
after,category_nodes_root,5,3.82,4.32,3.88,3.44,4.34
