run_id,cache,metric,p50_ms,p95_ms,mean_ms,n,media_count,rss_mb,note,cold_definition
2,Warm,gallery,637.04,687.54,636.92,5,184991,103.5,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
2,Warm,groups_provenance,948.49,1010.8,959.26,5,184991,103.6,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
2,Warm,category_subtree,358.94,369.25,361.17,5,184991,103.9,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
2,Warm,category_gallery,1615.58,1639.47,1606.51,5,184991,104.4,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
2,Warm,focus,1476.4,1507.09,1481.63,5,184991,104.5,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
2,Warm,facets,1629.11,1663.72,1627.15,5,184991,107.1,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
2,Warm,status_counts,5.38,5.99,5.49,5,184991,107.1,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
1,Cold,thumbnail,84.11,,,20,184991,141.2,ok,empty thumb cache in process
1,Warm,thumbnail,0.92,,,20,184991,141.2,ok,same-process
1,N/A,bulk_1,8.33,8.33,8.33,1,184991,132.3,undo_ms=254.2; restoreOk=true; db=C:compact,
1,N/A,bulk_100,6.75,6.75,6.75,100,184991,132.3,undo_ms=8.5; restoreOk=true; db=C:compact,
1,N/A,bulk_10000,788.44,788.44,788.44,10000,184991,144,undo_ms=272.6; restoreOk=true; db=C:compact,
