run_id,cache,metric,p50_ms,p95_ms,mean_ms,n,media_count,rss_mb,note,cold_definition
1,Cold,gallery,989.03,1047.33,994.47,5,184991,108.9,baseline-compatible: same process/connection; Cold suite first,same-process suite (baseline-compatible)
1,Cold,groups_provenance,1400.57,1489.38,1425.7,5,184991,103.1,baseline-compatible: same process/connection; Cold suite first,same-process suite (baseline-compatible)
1,Cold,category_subtree,559.84,646.77,571.98,5,184991,103.6,baseline-compatible: same process/connection; Cold suite first,same-process suite (baseline-compatible)
1,Cold,category_gallery,2279.19,2352.56,2282.33,5,184991,104,baseline-compatible: same process/connection; Cold suite first,same-process suite (baseline-compatible)
1,Cold,focus,2298.82,2323.06,2295.4,5,184991,104.1,baseline-compatible: same process/connection; Cold suite first,same-process suite (baseline-compatible)
1,Cold,facets,2701.21,2896.35,2720.74,5,184991,104.3,baseline-compatible: same process/connection; Cold suite first,same-process suite (baseline-compatible)
1,Cold,status_counts,6,10.34,6.95,5,184991,104.3,baseline-compatible: same process/connection; Cold suite first,same-process suite (baseline-compatible)
1,Cold,time_to_first_grid,989.03,1047.33,994.47,5,184991,108.9,API proxy ≈ gallery limit 120 (browser first-grid is authoritative); baseline-compatible: same process/connection; Cold suite first,same-process suite (baseline-compatible)
1,Warm,gallery,1025.85,1034.52,1007.1,5,184991,105.5,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
1,Warm,groups_provenance,1410.8,1471.19,1412.53,5,184991,104.5,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
1,Warm,category_subtree,526.54,573.09,536.53,5,184991,105.1,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
1,Warm,category_gallery,2355.81,2468.1,2361.09,5,184991,105.8,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
1,Warm,focus,2286.34,2436.95,2315.98,5,184991,105.8,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
1,Warm,facets,2838.21,3320.65,2909.24,5,184991,106,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
1,Warm,status_counts,5.87,6.04,5.77,5,184991,106,baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
1,Warm,time_to_first_grid,1025.85,1034.52,1007.1,5,184991,105.5,API proxy ≈ gallery limit 120 (browser first-grid is authoritative); baseline-compatible: same process/connection after Cold suite,same-process suite after Cold (baseline-compatible)
1,N/A,scroll_long_tasks,,,,0,184991,106,See frv40-browser.csv / FRV40_BROWSER.md / FRV40_PERFORMANCE.md,
2,Cold,gallery,978.66,1031.57,990.39,5,184991,106.7,baseline-compatible: same process/connection; Cold suite first,same-process suite (baseline-compatible)
