run_id,cache,metric,p50_ms,p95_ms,mean_ms,n,media_count,rss_mb
1,Cold,gallery,655.4,671.2,642.2,5,184991,89.1875
1,Cold,groups_provenance,2755.4,2811.4,2762,5,184991,89.3828125
1,Cold,category_subtree,387.6,419.7,396,5,184991,89.84765625
1,Cold,category_gallery,1645.3,1660.5,1637.6,5,184991,90.1328125
1,Cold,focus,1472.5,1497.5,1465.3,5,184991,90.17578125
1,Cold,facets,1663.9,1699.7,1668.2,5,184991,92.30859375
1,Cold,status_counts,615,625,614.9,5,184991,92.31640625
1,Warm,gallery,609.5,632,611.9,5,184991,89.08984375
1,Warm,groups_provenance,2752.4,2774.8,2739,5,184991,89.8515625
1,Warm,category_subtree,397.7,409.8,394.8,5,184991,90.390625
1,Warm,category_gallery,1634,1698.1,1648.2,5,184991,91.671875
1,Warm,focus,1432.9,1480.9,1434.9,5,184991,91.68359375
1,Warm,facets,1666,1690.4,1661,5,184991,93.7578125
1,Warm,status_counts,638.6,732.1,654.5,5,184991,93.7578125
2,Cold,gallery,654.6,684,653.5,5,184991,89.5703125
2,Cold,groups_provenance,2773.1,2799.4,2772.2,5,184991,91.33984375
2,Cold,category_subtree,399.7,419.3,399.5,5,184991,91.82421875
2,Cold,category_gallery,1671.5,1713.2,1671.9,5,184991,91.17578125
2,Cold,focus,1421,1482,1429.5,5,184991,91.203125
2,Cold,facets,1746.6,1752.5,1705.9,5,184991,94.04296875
2,Cold,status_counts,639.8,651.3,642.1,5,184991,94.04296875
2,Warm,gallery,723.3,839.3,732.1,5,184991,89.71875
2,Warm,groups_provenance,2708.9,2795.6,2738.1,5,184991,95.78125
2,Warm,category_subtree,393.3,394.8,391.9,5,184991,96.2734375
2,Warm,category_gallery,1674.7,1734.5,1678.3,5,184991,97.35546875
2,Warm,focus,1482.3,1516.1,1492.2,5,184991,97.359375
2,Warm,facets,1682.6,1720.6,1681.4,5,184991,97.88671875
2,Warm,status_counts,643.4,677.2,649.7,5,184991,97.88671875
